rnaseq_sample,guardian_dependence,executioner_availability,r,resistant
BA2830R,0.4823196605374823,0.7524752475247525,64.3787779347553,0
BA2924R,0.8826025459688827,0.7411598302687411,218.851640233491,1
BA2303R,0.7107496463932107,0.9702970297029703,216.066354679145,1
BA2160R,0.0785007072135785,0.19943422913719944,106.700266431969,0
BA2040R,0.8111739745403111,0.2446958981612447,123.111188529725,0
BA2590R,0.5190947666195191,0.6874115983026874,46.1796299926767,0
BA3195R,0.5565770862800565,0.43422913719943423,131.802101436024,0
BA2516R,0.019801980198019802,0.2814710042432815,51.2771306939998,0
BA2353R,0.14285714285714285,0.38189533239038187,87.766808501667,0
BA3036R,0.21994342291371993,0.4893917963224894,91.9346874257917,0
BA2971R,0.695898161244696,0.6067892503536068,276.342200678694,1
BA3206R,0.35431400282885434,0.28854314002828857,113.291483414681,0
BA3217R,0.6626591230551626,0.8415841584158416,45.5369937396542,0
BA3306R,0.9264497878359265,0.9448373408769448,53.9257023764764,0
BA3411R,0.29773691654879775,0.11032531824611033,214.546994635596,1
BA3133R,0.09971711456859972,0.07355021216407355,208.565373124865,1
BA3164R,0.13861386138613863,0.867043847241867,36.2252568337024,0
BA3451R,0.3896746817538897,0.620933521923621,221.367786766312,1
BA3286R,0.5601131541725601,0.4115983026874116,179.009637771843,1
BA3212R,0.12305516265912306,0.38472418670438474,221.799860744422,1
BA3271R,0.8111739745403111,0.4016973125884017,177.530526144761,1
BA3152R,0.8246110325318247,0.16548797736916548,227.519344568436,1
BA3095R,0.8451202263083452,0.7199434229137199,23.9283543283375,0
BA3192R,0.6803394625176803,0.8826025459688827,26.7405443833369,0
BA3251R,0.9844413012729845,1.0,144.898006863403,0
BA3362R,0.27157001414427157,0.3521923620933522,135.215876545778,0
BA3400R,0.9186704384724187,0.4002828854314003,53.0498541273101,0
BA3135R,0.4823196605374823,0.9561527581329562,44.104622834645,0
BA3187R,0.8557284299858557,0.6195190947666195,199.713743497238,1
BA3098R,0.09476661951909476,0.413012729844413,223.964361941537,1
BA3261R,0.7369165487977369,0.2956152758132956,87.3721579218757,0
BA3203R,0.9957567185289957,0.512022630834512,200.053714591074,1
BA3317R,0.6626591230551626,0.37057991513437055,24.4345218569969,0
BA3299R,0.9886845827439887,0.41725601131541723,228.590000770828,1
BA3347R,0.9943422913719944,0.5586987270155587,207.04327161602,1
BA3235R,0.8196605374823197,0.7213578500707214,210.561277278778,1
BA3126R,0.4985855728429986,0.256011315417256,248.415426173877,1
BA3380R,0.3345120226308345,0.8628005657708628,11.5256657392706,0
BA3089R,0.3055162659123055,0.6775106082036775,19.9693015457324,0
BA3109R,0.888967468175389,0.4639321074964639,231.769611539887,1
BA3114R,0.954031117397454,0.7425742574257426,226.14093589458,1
BA3418R,0.38189533239038187,0.26025459688826025,169.256175868954,1
BA3245R,0.9809052333804809,0.6888260254596889,91.5461530311114,0
BA3128R,0.1789250353606789,0.9688826025459689,16.3002639135612,0
BA3423R,0.14144271570014144,0.9957567185289957,8.085970321540621e-09,0
BA3171R,0.25742574257425743,0.04667609618104668,161.526909795248,1
BA3277R,0.632956152758133,0.5714285714285714,157.786327464227,0
BA3210R,0.9052333804809052,0.2758132956152758,165.997143824421,1
