lof,expr_q,drug,metric,lineage_subset,covset,n,beta,ci_low,ci_high,p,p_fdr
continuous_score,0.2,venetoclax,AUC,leukemia_only,lineage,62,0.05518353178279811,-0.21111595651982062,0.32148302008541685,0.6798994866830815,0.8213550845835887
expression_only,0.1,navitoclax,LN_IC50,all_heme,lineage,171,0.05598249938231707,-0.09401306661249385,0.20597806537712798,0.4622591700733724,0.6630012001052353
continuous_score,0.1,venetoclax,LN_IC50,all_heme,lineage_plus_mcl1,116,0.05666479407538777,-0.11077016365728187,0.2240997518080574,0.5038856714672023,0.702373844463544
any_of_three,0.1,venetoclax,LN_IC50,all_heme,lineage_plus_mcl1,116,0.05666479407538781,-0.1107701636572818,0.2240997518080574,0.503885671467202,0.702373844463544
expression_only,0.2,navitoclax,LN_IC50,leukemia_only,none,65,0.057326565646263566,-0.1940266414892566,0.3086797727817837,0.6501260690155224,0.8064352099947346
continuous_score,0.2,venetoclax,LN_IC50,all_heme,lineage,165,0.05926654353296595,-0.0949927303165708,0.2135258173825027,0.4491419377811858,0.6546198283450481
any_of_three,0.2,venetoclax,LN_IC50,all_heme,lineage,165,0.05926654353296595,-0.0949927303165708,0.2135258173825027,0.4491419377811858,0.6546198283450481
continuous_score,0.2,navitoclax,AUC,all_heme,none,171,0.06099115595221594,-0.09058001923399253,0.2125623311384244,0.4280976796437579,0.6448333249864135
any_of_three,0.2,navitoclax,AUC,all_heme,none,171,0.060991155952215964,-0.09058001923399256,0.2125623311384245,0.4280976796437579,0.6448333249864135
continuous_score,0.2,navitoclax,AUC,leukemia_only,lineage_plus_mcl1,44,0.061899707623609995,-0.2212574776757326,0.3450568929229526,0.6610002991993373,0.8093881214685763
any_of_three,0.2,navitoclax,AUC,leukemia_only,lineage_plus_mcl1,44,0.06189970762361015,-0.22125747767573262,0.3450568929229529,0.6610002991993367,0.8093881214685763
expression_only,0.2,navitoclax,LN_IC50,leukemia_only,lineage,65,0.06231198150876323,-0.19055888381259167,0.3151828468301181,0.6240472310950084,0.7804438119769782
continuous_score,0.2,venetoclax,AUC,leukemia_only,none,62,0.06526252879091216,-0.19242428085046748,0.3229493384322918,0.6142912087453762,0.7804438119769782
any_of_three,0.2,venetoclax,AUC,leukemia_only,none,62,0.06526252879091218,-0.1924242808504675,0.3229493384322919,0.6142912087453761,0.7804438119769782
any_of_three,0.05,venetoclax,AUC,all_heme,none,165,0.06589625719981977,-0.08843211318352424,0.2202246275831638,0.40038588030973965,0.6270817165601786
continuous_score,0.05,venetoclax,AUC,all_heme,none,165,0.0658962571998198,-0.08843211318352424,0.22022462758316386,0.40038588030973954,0.6270817165601786
continuous_score,0.1,venetoclax,AUC,all_heme,lineage,165,0.06600658379525662,-0.08924151227435198,0.22125467986486522,0.4023774347927813,0.6270817165601786
any_of_three,0.1,venetoclax,AUC,all_heme,lineage,165,0.06600658379525673,-0.08924151227435198,0.22125467986486544,0.4023774347927808,0.6270817165601786
continuous_score,0.05,navitoclax,AUC,all_heme,none,171,0.06722607167529858,-0.08428428030716852,0.2187364236577657,0.38231654483932737,0.6193791779095026
any_of_three,0.05,navitoclax,AUC,all_heme,none,171,0.06722607167529858,-0.08428428030716852,0.2187364236577657,0.38231654483932737,0.6193791779095026
expression_only,0.05,navitoclax,LN_IC50,all_heme,lineage_plus_mcl1,120,0.06888217738798844,-0.05209147308248127,0.18985582785845814,0.26174648914984816,0.5796745130192706
