rnaseq_sample,guardian_dependence,executioner_deficiency,susceptibility_score,executioner_loss_call,executioner_loss_score
BA2860R,0.7206506364922206,0.46393210749646396,0.5782153306135216,False,0.0
BA2707R,0.599009900990099,0.07355021216407354,0.20989832135155934,False,0.0
BA2871R,0.6485148514851485,0.8147100424328148,0.7268779554861847,False,0.0
BA2655R,0.7206506364922206,0.8458274398868458,0.7807343228762528,False,0.0
BA2227R,0.5367751060820368,0.5304101838755304,0.5335831544537182,False,0.0
BA2125R,0.2065063649222065,0.9702970297029703,0.44762988338444815,False,0.0
BA2523R,0.958981612446959,0.06082036775106081,0.24150696539754155,False,0.0
BA2603R,0.2065063649222065,0.4427157001414427,0.3023633739893093,False,0.0
BA2808R,0.41725601131541723,0.7157001414427158,0.5464706637288662,False,0.0
BA2282R,0.9186704384724187,0.30410183875530405,0.5285540365465048,False,0.0
BA2482R,0.5304101838755304,0.6676096181046676,0.5950688534077122,False,0.0
BA2812R,0.57001414427157,0.22347949080622342,0.35691241322508754,False,0.0
BA2822R,0.014144271570014143,0.6605374823196606,0.09665827192797673,False,0.0
BA2594R,0.7567185289957568,0.8387553041018387,0.7966816678619711,False,0.0
BA2747R,0.599009900990099,0.5219236209335218,0.5591398899200296,False,0.0
BA2561R,0.8246110325318247,0.2376237623762376,0.44265920982982637,False,0.0
BA2567R,1.0,0.12871287128712872,0.358765761029573,False,0.0
BA2906R,0.29773691654879775,0.272984441301273,0.28509217074279203,False,0.0
BA2956R,0.9886845827439887,0.11173974540311171,0.3323783439994174,False,0.0
BA2474R,0.7496463932107497,0.7128712871287128,0.731027625483158,False,0.0
BA2737R,0.8946251768033946,0.48090523338048086,0.6559191485531509,False,0.0
BA2110R,0.9391796322489392,0.2857142857142857,0.5180125845820844,False,0.0
BA2992R,0.9702970297029703,0.07920792079207917,0.27722772277227714,False,0.0
BA2220R,0.1768033946251768,0.917963224893918,0.4028635182072451,False,0.0
BA2772R,0.2524752475247525,0.06506364922206509,0.12816770631561036,False,0.0
BA2935R,0.6138613861386139,0.5615275813295615,0.5871116584007064,False,0.0
BA2260R,0.9052333804809052,0.07779349363507782,0.2653700571328673,False,0.0
BA2676R,0.5869872701555869,0.9080622347949081,0.7300828530609692,False,0.0
BA2948R,0.7920792079207921,0.6067892503536068,0.6932713385067466,False,0.0
BA2524R,0.9321074964639321,0.07072135785007072,0.2567487250448564,False,0.0
BA2811R,0.07637906647807638,0.47100424328147106,0.18967040994591522,False,0.0
BA2540R,0.6895332390381895,0.5558698727015559,0.6191048003429225,False,0.0
BA2928R,0.19165487977369167,0.11598302687411599,0.1490929678802711,False,0.0
BA2302R,0.5014144271570015,0.10608203677510608,0.23063187919547848,False,0.0
BA2595R,0.5509193776520509,0.5134370579915135,0.5318481216025723,False,0.0
BA2792R,0.5240452616690241,0.6591230551626591,0.5877161848331236,False,0.0
BA2651R,0.26308345120226306,0.49787835926449786,0.36191650561175615,False,0.0
BA2619R,0.2842998585572843,0.9519094766619519,0.5202189246599276,False,0.0
BA3013R,0.4533239038189533,0.5671852899575671,0.5070686835451873,False,0.0
BA2405R,0.3613861386138614,0.2687411598302687,0.3116397439956453,False,0.0
BA2735R,0.3069306930693069,0.3097595473833098,0.30834187611025865,False,0.0
BA2856R,0.7821782178217822,0.57001414427157,0.6677219836874811,False,0.0
BA2377R,0.4625176803394625,0.15700141442715698,0.2694734309924881,False,0.0
BA2499R,0.10537482319660538,0.6251768033946252,0.25666689526373976,False,0.0
BA2463R,0.5445544554455446,0.5021216407355021,0.5229078089282515,False,0.0
BA3023R,0.7001414427157001,0.190947666195191,0.36563694355616877,False,0.0
BA2095R,0.08345120226308345,0.7454031117397454,0.24940887282798357,False,0.0
BA2901R,0.8111739745403111,0.27722772277227725,0.4742150500921999,False,0.0
BA2275R,0.22418670438472418,0.8585572842998586,0.43872215363790784,False,0.0
BA2387R,0.43564356435643564,0.3974540311173974,0.41611091163753045,False,0.0
BA2962R,0.3592644978783593,0.0509193776520509,0.13525355686429327,False,0.0
BA2195R,0.4582743988684583,0.43705799151343705,0.4475404879242504,False,0.0
