,x,y,truth,pred_bypass,score,stability
spot579,19,14,False,False,0.033749999999999995,0.5555555555555556
spot580,20,14,False,False,0.15635166015625,0.8148148148148148
spot581,21,14,False,False,0.21418476562499997,1.0
spot582,22,14,False,False,0.002995312499999995,0.7777777777777778
spot583,23,14,False,False,0.05763720703124999,1.0
spot584,24,14,False,False,0.38853554687499997,0.4074074074074074
spot585,25,14,False,True,0.41866015624999997,0.41975308641975306
spot586,26,14,False,False,0.368476171875,0.8888888888888888
spot587,27,14,False,False,0.07074755859375,0.9259259259259259
spot588,28,14,False,False,0.0006562499999999999,1.0
spot589,29,14,False,False,0.16039374999999997,1.0
spot590,30,14,False,False,0.031001953125000002,0.3333333333333333
spot591,31,14,False,False,0.10069765624999998,1.0
spot592,32,14,False,False,0.020499999999999997,0.8888888888888888
spot593,33,14,False,False,0.22162792968750003,1.0
spot594,34,14,False,False,0.025155078125,1.0
spot595,35,14,False,False,0.34950937500000007,0.6296296296296297
spot596,36,14,False,False,0.40793789062499997,0.4444444444444444
spot597,37,14,False,True,0.39194394531249993,0.1728395061728395
spot598,38,14,False,False,0.140337890625,1.0
spot599,39,14,False,True,0.46813632812499995,0.14814814814814814
spot600,0,15,False,False,0.05982636718750001,1.0
spot601,1,15,False,False,0.191376171875,0.9629629629629629
spot602,2,15,False,False,0.32619023437500005,0.2222222222222222
spot603,3,15,False,False,0.11375507812499998,0.8518518518518519
spot604,4,15,False,False,0.017613671875000004,1.0
spot605,5,15,False,False,0.31228320312499996,1.0
spot606,6,15,False,True,0.43945546874999997,0.09876543209876543
spot607,7,15,False,False,0.02578886718749999,1.0
spot608,8,15,False,False,0.004466308593749958,1.0
spot609,9,15,False,False,0.061101269531249995,0.3333333333333333
spot610,10,15,False,False,0.03999375,0.6296296296296297
spot611,11,15,False,False,0.365705078125,0.3333333333333333
spot612,12,15,False,False,0.062164843750000025,0.3333333333333333
spot613,13,15,True,True,0.8299177734375001,1.0
spot614,14,15,True,True,0.8336234375,1.0
spot615,15,15,True,True,0.9061144531249999,1.0
spot616,16,15,False,False,0.11300351562499998,0.3333333333333333
spot617,17,15,False,False,0.43496083984375006,0.345679012345679
spot618,18,15,False,False,0.052623046875,0.6666666666666666
spot619,19,15,False,True,0.5980736328125,0.18518518518518517
spot620,20,15,False,False,0.007221484375,0.5432098765432098
spot621,21,15,False,False,0.312075,0.5925925925925926
spot622,22,15,False,True,0.6159849609375,0.43209876543209874
spot623,23,15,False,True,0.5462630859375,0.32098765432098764
spot624,24,15,False,False,0.09226874999999998,0.8148148148148148
spot625,25,15,False,False,0.35025146484374997,0.5432098765432098
spot626,26,15,False,False,0.06144531250000001,0.9629629629629629
spot627,27,15,False,False,0.016253906249999995,1.0
spot628,28,15,False,False,0.22529658203125,0.3333333333333333
spot629,29,15,False,False,0.022910839843749985,1.0
spot630,30,15,False,False,0.029779296874999996,1.0
spot631,31,15,False,False,0.05218281250000001,1.0
spot632,32,15,False,True,0.6656071289062501,0.3333333333333333
spot633,33,15,False,False,0.004971093749999968,1.0
spot634,34,15,False,False,0.24931132812499998,1.0
spot635,35,15,False,True,0.47265751953125,0.2962962962962963
spot636,36,15,False,False,0.284277734375,0.37037037037037035
spot637,37,15,False,False,0.26020703125,1.0
spot638,38,15,False,False,0.29027988281249995,1.0
spot639,39,15,False,False,0.08105839843749998,1.0
spot640,0,16,False,False,0.244125,1.0
spot641,1,16,False,False,0.08250087890624999,0.8518518518518519
spot642,2,16,False,False,0.2059287109375,0.3333333333333333
spot643,3,16,False,False,0.35094541015624997,0.9259259259259259
spot644,4,16,False,False,0.1021185546875,1.0
spot645,5,16,False,False,0.3138173828125,0.2222222222222222
spot646,6,16,False,False,0.035256640624999974,1.0
spot647,7,16,False,False,0.12414531250000002,1.0
spot648,8,16,False,False,0.07084335937499997,1.0
spot649,9,16,False,False,0.35027470703125,0.2222222222222222
spot650,10,16,False,False,0.010848632812499993,0.3333333333333333
spot651,11,16,True,True,0.9598447265625,1.0
spot652,12,16,True,True,0.9628240234375,1.0
spot653,13,16,True,True,0.8266376953125001,1.0
spot654,14,16,True,True,0.86364404296875,1.0
spot655,15,16,True,True,0.935391796875,1.0
spot656,16,16,True,True,0.8571536132812501,1.0
spot657,17,16,True,True,0.875654296875,1.0
spot658,18,16,False,False,0.33896953125,0.3333333333333333
spot659,19,16,False,False,0.47849589843750007,0.2222222222222222
spot660,20,16,False,False,0.04194287109375,0.6666666666666666
spot661,21,16,False,False,0.09384375,0.37037037037037035
